job_title,location,salary,profession,description,gender,country,salary_local,salary_usd,job_category,sub_category,job_title_norm,location_norm,profession_norm,description_norm,job_category_norm,sub_category_norm,salary_min,salary_max,salary_avg,salary_chosen,experience_years,job_title_cluster
فرص عمل عمال مخازن - 15 مايو - القاهرة,15 مايو - التبين - المعصرة - حلوان - القاهرة,5000 - 6000 جنيه مصري,اعمال المخازن,عمال تحميل وتنزيل بضاعه ادوات صحيه من العربيات والى العربيات- لا يشترط خبرة- يجيد القراءة والكتابة بلا شهادة- خدمات,neutral,Egypt,5500.0,176.0,صناعة وتجزئة,صناعة وتجزئة,فرص عمل عمال مخازن - 15 مايو - القاهره,,اعمال المخازن,عمال تحميل وتنزيل بضاعه ادوات صحيه من العربيات والي العربيات- لا يشترط خبره- يجيد القراءه والكتابه بلا شهاده- خدمات,,صناعه وتجزئه,500.0,0.0,250.0,250.0,,7
سائق جامبو (رخصة درجة أولى او درجه ثانية) - 15 مايو - القاهرة,15 مايو - التجمع الخامس - المعادى - المعصرة - القاهرة,nan,قيادة سيارات ركوب ونقل ثقيل,*مميزات العمل :1 - مرتب مميز2 - حوافز شهرية3 - عمولات4 - تأميينات اجتماعية5 - تأمين طبي6- مكافآت موسمية7- ارباح سنوية- لا يشترط خبرة- يجيد القراءة والكتابة بلا شهادة- قيادة وتوصيل,male,Egypt,8031.4814,257.00742,سيارات وميكانيك,سيارات وميكانيك,سائق جامبو (رخصه درجه اولي او درجه ثانيه) - 15 مايو - القاهره,,قياده سيارات ركوب ونقل ثقيل,*مميزات العمل :1 - مرتب مميز2 - حوافز شهريه3 - عمولات4 - تاميينات اجتماعيه5 - تامين طبي6- مكافات موسميه7- ارباح سنويه- لا يشترط خبره- يجيد القراءه والكتابه بلا شهاده- قياده وتوصيل,Mechanistic,سيارات وميكانيك,,,,8031.4814453125,1.0,7
مراقب إنتاج ومخزون - 15 مايو - القاهرة,15 مايو - السلام - القاهرة الجديدة - حلوان - القاهرة,nan,النسيج والملابس الجاهزة,إستلام الاعداد من خط الإنتاج.متابعه الموديلات علي خط الانتاج.إعداد التقارير اللازمه عن التسليمات والاعداد.- لا يشترط خبرة- ثانوية فنية نظام ٣ سنوات (متوسط)- صناعة وزراعة,neutral,Egypt,8625.0,276.0,فنيين وحرفيين,فنيين وحرفيين,مراقب انتاج ومخزون - 15 مايو - القاهره,,النسيج والملابس الجاهزه,استلام الاعداد من خط الانتاج.متابعه الموديلات علي خط الانتاج.اعداد التقارير اللازمه عن التسليمات والاعداد.- لا يشترط خبره- ثانويه فنيه نظام ٣ سنوات (متوسط)- صناعه وزراعه,Craftsmen,فنيين وحرفيين,,,,8625.0,3.0,7
فرص عمل امين مخزن - 15 مايو - القاهرة,15 مايو - السلام - حلوان - مدينة العبور - القاهرة,nan,ادارة المخازن,المهام المطلوبة :مسئول عن القيام بالأعمال الادارية بالمخزن.مسئول عن متابعة الأكواد و الأصناف وفحص و استلام المنتجات و تخزينها.استيفاء أمر الاستلام وتسجيله على نظام الخاص بالشركة.التأكد من استلام الكمية المطلوبة.وزن عينات من المنتجات المستلمة.الالتزام بتعليمات السلامة والصحة المهنية.- سنة خبرة على الأقل- دبلوم نظام ٥ سنوات (فوق متوسط)- اعمال ادارية,male,Egypt,9057.673,289.84555,إدارة وسكرتارية,إدارة وسكرتارية,فرص عمل امين مخزن - 15 مايو - القاهره,,اداره المخازن,المهام المطلوبه :مسئول عن القيام بالاعمال الاداريه بالمخزن.مسئول عن متابعه الاكواد و الاصناف وفحص و استلام المنتجات و تخزينها.استيفاء امر الاستلام وتسجيله علي نظام الخاص بالشركه.التاكد من استلام الكميه المطلوبه.وزن عينات من المنتجات المستلمه.الالتزام بتعليمات السلامه والصحه المهنيه.- سنه خبره علي الاقل- دبلوم نظام ٥ سنوات (فوق متوسط)- اعمال اداريه,Adminstration And Secretaries,اداره وسكرتاريه,,,,9057.6728515625,5.0,7
كاشير (ذكور) - 15 مايو - القاهرة,15 مايو - القاهرة,nan,كاشير,مطلوب شباب للعمل كاشير يجيد التعامل مع سيستم الكاشير والمحاسبه وتقفيل اليوميات وجرد الفرع يجيد التعامل مع العملاء بشكل جيد وحل اي ظرف- سنة-‎5 سنوات خبرة- دبلوم نظام ٥ سنوات (فوق متوسط)- تسويق ومبيعات,male,Egypt,6138.75,196.44,إدارة وسكرتارية,إدارة وسكرتارية,كاشير (ذكور) - 15 مايو - القاهره,,كاشير,مطلوب شباب للعمل كاشير يجيد التعامل مع سيستم الكاشير والمحاسبه وتقفيل اليوميات وجرد الفرع يجيد التعامل مع العملاء بشكل جيد وحل اي ظرف- سنه-‎5 سنوات خبره- دبلوم نظام ٥ سنوات (فوق متوسط)- تسويق ومبيعات,Adminstration And Secretaries,اداره وسكرتاريه,,,,6138.75,5.0,7
مسئول مبيعات داخلية- account manager - 15 مايو - القاهرة,15 مايو - القاهرة,7000 - 8000 جنيه مصري,مبيعات داخلية,الشركة تعمل في مجال :الديكور والاثاث الداخلىالمهام المطلوبة:شرط اساسى حسن المظهرمتابعة العملاء القائمين بالشركةاقتراح وتنفيذ التحسينات في إدارة المبيعات.تنسيق المشاريع الوفاء بالمواعيد النهائية.تقديم تقرير عن قياس نسبة المبيعات واقتراح التحسينات المناسبة.إعداد توقعات المبيعات الدورة منها الشهرية وربع سنوية والسنوية.استخدم ملاحظات العملاء لإنشاء أفكار حول مميزات أو منتجات جديدة.البحث واكتشاف طرق جديدة لزيادة حجم العملاء.ضمان الوفاء بالسياسات والإجراءات المالية.التعاون وبناء بيئة اتصال مفتوحة مع فريق العمل.التواصل مع إدارات التسويق وتطوير المنتجات لضمان تناسق العلامة التجارية وزيادة المبيعات.- سنتان-‎4 سنوات خبرة- مؤهل عالي- تسويق ومبيعات,neutral,Egypt,7500.0,240.0,مبيعات,مبيعات,مسئول مبيعات داخليه- account manager - 15 مايو - القاهره,,مبيعات داخليه,الشركه تعمل في مجال :الديكور والاثاث الداخليالمهام المطلوبه:شرط اساسي حسن المظهرمتابعه العملاء القائمين بالشركهاقتراح وتنفيذ التحسينات في اداره المبيعات.تنسيق المشاريع الوفاء بالمواعيد النهائيه.تقديم تقرير عن قياس نسبه المبيعات واقتراح التحسينات المناسبه.اعداد توقعات المبيعات الدوره منها الشهريه وربع سنويه والسنويه.استخدم ملاحظات العملاء لانشاء افكار حول مميزات او منتجات جديده.البحث واكتشاف طرق جديده لزياده حجم العملاء.ضمان الوفاء بالسياسات والاجراءات الماليه.التعاون وبناء بيئه اتصال مفتوحه مع فريق العمل.التواصل مع ادارات التسويق وتطوير المنتجات لضمان تناسق العلامه التجاريه وزياده المبيعات.- سنتان-‎4 سنوات خبره- مؤهل عالي- تسويق ومبيعات,Sales,مبيعات,700.0,0.0,350.0,350.0,4.0,7
مسئول جودة (خبرة بمجال الملابس) - 15 مايو - القاهرة,15 مايو - القاهرة,nan,جودة,الوصف الوظيفي :مسؤول عن جوده خط إنتناج.مسؤول عن قسم التعبئه.مسؤول عن جوده القص.مسؤول عن جوده الطباعة.عمل تقارير الجوده اللازمه.الشروط :السن من 22 الى 30 سنة.العمل يومياً من الساعة 8:00 صباحاً حتى 4:30 مساءً.إجادة التعامل مع أنظمة التشغيل الالكترونية وشبكة الانترنت.من مقيمين (حلوان - 15 مايو - المعادى - .......... إلخ).التفرغ التام للوظيفة.يفضل ان يكون حاصل على بكالوريوس كلية الفنون التطبيقية (قسم ملابس جاهزة).- سنة-‎3 سنوات خبرة- دبلوم نظام ٥ سنوات (فوق متوسط)- صناعة وزراعة,neutral,Egypt,7541.9355,241.34193,صناعة وتجزئة,صناعة وتجزئة,مسئول جوده (خبره بمجال الملابس) - 15 مايو - القاهره,,جوده,الوصف الوظيفي :مسؤول عن جوده خط انتناج.مسؤول عن قسم التعبئه.مسؤول عن جوده القص.مسؤول عن جوده الطباعه.عمل تقارير الجوده اللازمه.الشروط :السن من 22 الي 30 سنه.العمل يوميا من الساعه 8:00 صباحا حتي 4:30 مساء.اجاده التعامل مع انظمه التشغيل الالكترونيه وشبكه الانترنت.من مقيمين (حلوان - 15 مايو - المعادي - .......... الخ).التفرغ التام للوظيفه.يفضل ان يكون حاصل علي بكالوريوس كليه الفنون التطبيقيه (قسم ملابس جاهزه).- سنه-‎3 سنوات خبره- دبلوم نظام ٥ سنوات (فوق متوسط)- صناعه وزراعه,,صناعه وتجزئه,,,,7541.935546875,22.0,7
فنيين ميكانيكا تركيبات - 15 مايو - القاهرة,15 مايو - القاهرة,nan,صيانة الماكينات,- سنتان خبرة على الأقل- ثانوية فنية نظام ٣ سنوات (متوسط)- صناعة وزراعة,male,Egypt,7554.293,241.73738,فنيين وحرفيين,فنيين وحرفيين,فنيين ميكانيكا تركيبات - 15 مايو - القاهره,,صيانه الماكينات,- سنتان خبره علي الاقل- ثانويه فنيه نظام ٣ سنوات (متوسط)- صناعه وزراعه,Craftsmen,فنيين وحرفيين,,,,7554.29296875,3.0,7
فنيين كهرباء - 15 مايو - القاهرة,15 مايو - القاهرة,nan,كهرباء,- سنتان خبرة على الأقل- ثانوية فنية نظام ٣ سنوات (متوسط)- حرف,male,Egypt,7554.293,241.73738,فنيين وحرفيين,فنيين وحرفيين,فنيين كهرباء - 15 مايو - القاهره,,كهرباء,- سنتان خبره علي الاقل- ثانويه فنيه نظام ٣ سنوات (متوسط)- حرف,Craftsmen,فنيين وحرفيين,,,,7554.29296875,3.0,7
مشرف تركيبات خارجية اثاث - 15 مايو - القاهرة,15 مايو - القاهرة,7000 - 9000 جنيه مصري,نجارة,المسؤوليات:مباشرة الأعمال بدقة ومراعاة التفاصيل.حصر جميع التفاصيل كتابة بشكل منظم.ابلاغ وتوضيح منفذي الأعمال بكافة المهام المطلوبة بشكل دقيق.متابعة الأعمال بشكل دوري للتأكد من صحة تنفيذها.تقييم وتقدير العمل المطلوب المنفذ ، والاستلام من منفذي الأعمال.عمل التحضيرات اللازمة لاتمام الأعمال من منفذي الأعمال بشكل دائم ودقيق.إجراء زيارات خارجية للمشتريات والتأكد من توفر الخامات اللازمة.التعامل مع المشكلات ، وتوضيحها ، ومسؤولية العمل علي حلها بشكل فعال.مراجعة الخامات المستخدمة في المشروع.المتطلبات :يفضل أن يكون المؤهل : هندسة قسم عمارة أو مدنى - فنون تطبيقية قسم ديكور أو عمارة أو اثاث - دبلوم صناعى فوق متوسط ٥ سنوات خبرة فى الأثاث والديكورمعرفة جيدة بالمواد والأدوات المستخدمة.الالمام بالخامات والأصناف الموجودة في السوق المصري.الالتزام بالمواعيد النهائية وجودة العمل.جاد ، وملتزم ، ومنظم ، يسجل ويكتب كل التفاصيل بنظام ودقة.حسن المظهر شرط اساسى.- سنة-‎4 سنوات خبرة- دبلوم نظام ٥ سنوات (فوق متوسط)- حرف,neutral,Egypt,8000.0,256.0,فنيين وحرفيين,فنيين وحرفيين,مشرف تركيبات خارجيه اثاث - 15 مايو - القاهره,,نجاره,المسؤوليات:مباشره الاعمال بدقه ومراعاه التفاصيل.حصر جميع التفاصيل كتابه بشكل منظم.ابلاغ وتوضيح منفذي الاعمال بكافه المهام المطلوبه بشكل دقيق.متابعه الاعمال بشكل دوري للتاكد من صحه تنفيذها.تقييم وتقدير العمل المطلوب المنفذ ، والاستلام من منفذي الاعمال.عمل التحضيرات اللازمه لاتمام الاعمال من منفذي الاعمال بشكل دائم ودقيق.اجراء زيارات خارجيه للمشتريات والتاكد من توفر الخامات اللازمه.التعامل مع المشكلات ، وتوضيحها ، ومسؤوليه العمل علي حلها بشكل فعال.مراجعه الخامات المستخدمه في المشروع.المتطلبات :يفضل ان يكون المؤهل : هندسه قسم عماره او مدني - فنون تطبيقيه قسم ديكور او عماره او اثاث - دبلوم صناعي فوق متوسط ٥ سنوات خبره في الاثاث والديكورمعرفه جيده بالمواد والادوات المستخدمه.الالمام بالخامات والاصناف الموجوده في السوق المصري.الالتزام بالمواعيد النهائيه وجوده العمل.جاد ، وملتزم ، ومنظم ، يسجل ويكتب كل التفاصيل بنظام ودقه.حسن المظهر شرط اساسي.- سنه-‎4 سنوات خبره- دبلوم نظام ٥ سنوات (فوق متوسط)- حرف,Craftsmen,فنيين وحرفيين,700.0,0.0,350.0,350.0,5.0,7
محاسب عام - 15 مايو - القاهرة,15 مايو - القاهرة,nan,حسابات,المهام المطلوبة :-تنفيذ الاجراءات المالية والمحاسبية المعتمدة في الشركة ويجب تطبيقه بطريقة دقيقة والتأكد من دقة وصحة سير دورة المستندات المالية .إعداد إدخالات الأصول والمسؤولية ورأس المال من خلال تجميع وتحليل معلومات الحساب .يحافظ على الضوابط المحاسبية من خلال التوصية بالسياسات والإجراءات .تأمين المعلومات المالية من خلال استكمال النسخ الاحتياطي لقاعدة البيانات .تحليل وتقديم تقرير عن الوضع المالي بما في ذلك الفروق في بيان الدخل، وإبلاغ النتائج المالية للإدارة، وإعداد الميزانية وتحليلها .الإشراف على الضرائب والالتزام باللوائح الاتحادية .وضع وتنفيذ وتعديل وتوثيق نظم حفظ السجلات والمحاسبة .إسداء المشورة للإدارة بشأن قضايا مثل استخدام الموارد، والاستراتيجيات الضريبية، والافتراضات الكامنة وراء توقعات الميزانية .تحرير وحفظ جميع الوثائق التى تخص الاجراءات المالية (شحن - تحصيل - .... إلخ) .الشروط :-العمل يومياً من الساعة 8:00 صباحاً حتى 16:30 مساءً .التفرغ التام للوظيفة .حسن المظهر ومهارات التواصل الجيدة .العمل على السيستم الخاص بالشركة (odoo) .إجادة استخدام الحاسب الألى ومجموعة أوفيس إجادة تامة .خبرة لاتقل عن سنه فى الحسابات .يفضل من مقيمين مدينة 15 مايو وحلوان وضواحيها .- سنة-‎3 سنوات خبرة- مؤهل عالي- مالية وقانونية,male,Egypt,8394.887,268.63635,مالية ومحاسبة,مالية ومحاسبة,محاسب عام - 15 مايو - القاهره,,حسابات,المهام المطلوبه :-تنفيذ الاجراءات الماليه والمحاسبيه المعتمده في الشركه ويجب تطبيقه بطريقه دقيقه والتاكد من دقه وصحه سير دوره المستندات الماليه .اعداد ادخالات الاصول والمسؤوليه وراس المال من خلال تجميع وتحليل معلومات الحساب .يحافظ علي الضوابط المحاسبيه من خلال التوصيه بالسياسات والاجراءات .تامين المعلومات الماليه من خلال استكمال النسخ الاحتياطي لقاعده البيانات .تحليل وتقديم تقرير عن الوضع المالي بما في ذلك الفروق في بيان الدخل، وابلاغ النتائج الماليه للاداره، واعداد الميزانيه وتحليلها .الاشراف علي الضرائب والالتزام باللوائح الاتحاديه .وضع وتنفيذ وتعديل وتوثيق نظم حفظ السجلات والمحاسبه .اسداء المشوره للاداره بشان قضايا مثل استخدام الموارد، والاستراتيجيات الضريبيه، والافتراضات الكامنه وراء توقعات الميزانيه .تحرير وحفظ جميع الوثائق التي تخص الاجراءات الماليه (شحن - تحصيل - .... الخ) .الشروط :-العمل يوميا من الساعه 8:00 صباحا حتي 16:30 مساء .التفرغ التام للوظيفه .حسن المظهر ومهارات التواصل الجيده .العمل علي السيستم الخاص بالشركه (odoo) .اجاده استخدام الحاسب الالي ومجموعه اوفيس اجاده تامه .خبره لاتقل عن سنه في الحسابات .يفضل من مقيمين مدينه 15 مايو وحلوان وضواحيها .- سنه-‎3 سنوات خبره- مؤهل عالي- ماليه وقانونيه,Finance And Accounting,ماليه ومحاسبه,,,,8394.88671875,8.0,7
مهندس انتاج - 15 مايو - القاهرة,15 مايو - القاهرة,8000 - 12000 جنيه مصري,هندسة عمارة وديكور,المهام المطلوبة:المشاركة في تطوير عمليات التصنيع من خلال دراسة متطلبات الإنتاج.البحث والتحليل واختبار طرق ومعدات التصنيع والتعاون مع ادارة المبيعات.العمل على تحسين كفاءة التصنيع من خلال التخطيط الدقيق لمتطلبات العمل.المراجعة لضمان جودة المنتج وملائمة التصميم واختبار المنتج النهائي.تقديم تقارير عن عمليات التصنيع مثل تكاليف الإنتاج والعمالة والمواد الخام.المراجعة الدورية جداول الإنتاج وتقديم الاحتياجات المستقبلية.توفير المعلومات الهندسية من خلال دراسة متطلبات العملاء.التأكد من تطبيق اللوائح والقواعد القانونية لإجراءات التصنيع.تنسيق إجراءات التشغيل وخدمات الصيانة والإصلاح الدورية.مراجعة متطلبات الصيانة واتباع تعليمات الشركات المصنعة للمعدات.الحفاظ على سجلات الصيانة والتسجيل في قواعد البيانات.الإشراف على تطوير المشاريع وتدريب وتوجيه الفنيين.الاطلاع المستمر للتطورات الخاصة بمجال الإنتاج والمشاركة في الجمعيات المهنية.- 3-‎5 سنوات خبرة- مؤهل عالي- عمارة وهندسة,neutral,Egypt,10000.0,320.0,إعلام وتصميم,تصميم,مهندس انتاج - 15 مايو - القاهره,,هندسه عماره وديكور,المهام المطلوبه:المشاركه في تطوير عمليات التصنيع من خلال دراسه متطلبات الانتاج.البحث والتحليل واختبار طرق ومعدات التصنيع والتعاون مع اداره المبيعات.العمل علي تحسين كفاءه التصنيع من خلال التخطيط الدقيق لمتطلبات العمل.المراجعه لضمان جوده المنتج وملائمه التصميم واختبار المنتج النهائي.تقديم تقارير عن عمليات التصنيع مثل تكاليف الانتاج والعماله والمواد الخام.المراجعه الدوريه جداول الانتاج وتقديم الاحتياجات المستقبليه.توفير المعلومات الهندسيه من خلال دراسه متطلبات العملاء.التاكد من تطبيق اللوائح والقواعد القانونيه لاجراءات التصنيع.تنسيق اجراءات التشغيل وخدمات الصيانه والاصلاح الدوريه.مراجعه متطلبات الصيانه واتباع تعليمات الشركات المصنعه للمعدات.الحفاظ علي سجلات الصيانه والتسجيل في قواعد البيانات.الاشراف علي تطوير المشاريع وتدريب وتوجيه الفنيين.الاطلاع المستمر للتطورات الخاصه بمجال الانتاج والمشاركه في الجمعيات المهنيه.- 3-‎5 سنوات خبره- مؤهل عالي- عماره وهندسه,Media And Design,تصميم,800.0,0.0,400.0,400.0,3.0,7
مدير مصنع أثاث خشبي وديكور ومعارض - 15 مايو - القاهرة,15 مايو - القاهرة,nan,هندسة عمارة وديكور,مدير مصنع أثاث خشبي.* يكون مدير المصنع مسئول عن تعيين العمالة اللازمة للمشروع و تقييم و مراقبة جودة العمل الخاصة بهم* يكون مدير المصنع مسئول عن وضع خطة تسويقية لمنتجات المصنع* يكون لمدير المصنع نسبة من مبيعات المصنع يتم الإتفاق عليها مع الإدارة بالإضافة إلي الراتب الاساسي* يقوم مدير المصنع بإرسال تقرير دوري شهريا عن مستجدات العمل بالمصنع- خبرة في مجال الأثاث والديكور والمعارض.- خبرة لاتقل عن 4 سنوات في إدارة مصنع أو شركة صناعية .- لديه قدرة على إدارة الموارد البشرية والمالية والقدرة على حل المشكلات والتفكير الإبداعي .- لديه مهارات ادارية قوية ومهارات تواصل جيدة مع الموظفين والعملاء .- مهارات تقنية في مجال الانتاج والتصميم وتحليل البيانات والتخطيط .- معرفة بالمواد الخام والتقنيات المستخدمة في صناعة الأثاث .- معرفة بمعايير الجودة وتحسين جودة المنتجات .- القدرة على التخطيط والتنظيم ومتابعة التقدم والتقارير .- يشترط بكالوريوس في الهندسة .- 4-‎7 سنوات خبرة- مؤهل عالي- عمارة وهندسة,male,Egypt,10307.447,329.8383,إعلام وتصميم,تصميم,مدير مصنع اثاث خشبي وديكور ومعارض - 15 مايو - القاهره,,هندسه عماره وديكور,مدير مصنع اثاث خشبي.* يكون مدير المصنع مسئول عن تعيين العماله اللازمه للمشروع و تقييم و مراقبه جوده العمل الخاصه بهم* يكون مدير المصنع مسئول عن وضع خطه تسويقيه لمنتجات المصنع* يكون لمدير المصنع نسبه من مبيعات المصنع يتم الاتفاق عليها مع الاداره بالاضافه الي الراتب الاساسي* يقوم مدير المصنع بارسال تقرير دوري شهريا عن مستجدات العمل بالمصنع- خبره في مجال الاثاث والديكور والمعارض.- خبره لاتقل عن 4 سنوات في اداره مصنع او شركه صناعيه .- لديه قدره علي اداره الموارد البشريه والماليه والقدره علي حل المشكلات والتفكير الابداعي .- لديه مهارات اداريه قويه ومهارات تواصل جيده مع الموظفين والعملاء .- مهارات تقنيه في مجال الانتاج والتصميم وتحليل البيانات والتخطيط .- معرفه بالمواد الخام والتقنيات المستخدمه في صناعه الاثاث .- معرفه بمعايير الجوده وتحسين جوده المنتجات .- القدره علي التخطيط والتنظيم ومتابعه التقدم والتقارير .- يشترط بكالوريوس في الهندسه .- 4-‎7 سنوات خبره- مؤهل عالي- عماره وهندسه,Media And Design,تصميم,,,,10307.447265625,4.0,7
مهندس مكتب فني - 15 مايو - القاهرة,15 مايو - القاهرة,nan,هندسة عمارة وديكور,مطلوب مهندس مكتب فنى خبرة لا تقل عن 3 سنوات فى مجال الديكور والدعاية والاعلان- 3-‎5 سنوات خبرة- مؤهل عالي- عمارة وهندسة,neutral,Egypt,10307.447,329.8383,إعلام وتصميم,تصميم,مهندس مكتب فني - 15 مايو - القاهره,,هندسه عماره وديكور,مطلوب مهندس مكتب فني خبره لا تقل عن 3 سنوات في مجال الديكور والدعايه والاعلان- 3-‎5 سنوات خبره- مؤهل عالي- عماره وهندسه,Media And Design,تصميم,,,,10307.447265625,3.0,7
مهندس 3D - 15 مايو - القاهرة,15 مايو - القاهرة,8000 - 15000 جنيه مصري,هندسة عمارة وديكور,مطلوب مصمم  3D Max لا تقل خبرته عن سنتان- سنتان-‎5 سنوات خبرة- مؤهل عالي- عمارة وهندسة,neutral,Egypt,11500.0,368.0,إعلام وتصميم,تصميم,مهندس 3D - 15 مايو - القاهره,,هندسه عماره وديكور,مطلوب مصمم 3D Max لا تقل خبرته عن سنتان- سنتان-‎5 سنوات خبره- مؤهل عالي- عماره وهندسه,Media And Design,تصميم,800.0,0.0,400.0,400.0,3.0,7
مهندس كهرباء - 15 مايو - القاهرة,15 مايو - القاهرة,nan,هندسة كهرباء واتصالات, سنة خبرة على الأقل- مؤهل عالي- عمارة وهندسة,male,Egypt,12878.571,412.1143,هندسة,هندسة,مهندس كهرباء - 15 مايو - القاهره,,هندسه كهرباء واتصالات,سنه خبره علي الاقل- مؤهل عالي- عماره وهندسه,Engineering,هندسه,,,,12878.5712890625,,7
مدير مكتب فنى (اثاث ) (فنون تطبيقيه ) - 15 مايو - القاهرة,15 مايو - القاهرة,15000 - 25000 جنيه مصري,هندسة عمارة وديكور,مطلوب مدير مكتب فنى خبرة لا تقل عن 7 سنوات ويفضل من له سابقة عمل فى مجال الديكور والدعاية والاعلان (اعمال خشبية)- 7-‎10 سنوات خبرة- مؤهل عالي- عمارة وهندسة,neutral,Egypt,20000.0,640.0,إعلام وتصميم,تصميم,مدير مكتب فني (اثاث ) (فنون تطبيقيه ) - 15 مايو - القاهره,,هندسه عماره وديكور,مطلوب مدير مكتب فني خبره لا تقل عن 7 سنوات ويفضل من له سابقه عمل في مجال الديكور والدعايه والاعلان (اعمال خشبيه)- 7-‎10 سنوات خبره- مؤهل عالي- عماره وهندسه,Media And Design,تصميم,150.0,0.0,75.0,75.0,7.0,7
(محامية ابتدائي) شرط تفرغ لدوام كامل (عن بعد) لشركة سعودية - 15 مايو - القاهرة,15 مايو - القاهرة الجديدة - حلوان - شبرا - القاهرة,5000 - 10000 جنيه مصري,محاماة,"فرصة وظيفية (محامية إبتدائي)  يفضل: خبرة، ماجستير، شريعة وقانون.لشرط الأساسي: (التفرغ الكامل) للدوام الكامل 8ساعات × لمدة 6 أيام على فترتين صباحي ومسائيالعمل من المنزل  ""عن بعد""لشركة أفق في السعوديةالعلاوة نصف سنوية 1000جنية والراتب يحدد بعد المقابلة زوم- سنتان-‎15 سنة خبرة- مؤهل عالي- مالية وقانونية",female,Egypt,7500.0,240.0,قانون ومحاماة,قانون ومحاماة,(محاميه ابتدائي) شرط تفرغ لدوام كامل (عن بعد) لشركه سعوديه - 15 مايو - القاهره,,محاماه,"فرصه وظيفيه (محاميه ابتدائي) يفضل: خبره، ماجستير، شريعه وقانون.لشرط الاساسي: (التفرغ الكامل) للدوام الكامل 8ساعات × لمده 6 ايام علي فترتين صباحي ومسائيالعمل من المنزل ""عن بعد""لشركه افق في السعوديهالعلاوه نصف سنويه 1000جنيه والراتب يحدد بعد المقابله زوم- سنتان-‎15 سنه خبره- مؤهل عالي- ماليه وقانونيه",Lawyer,قانون ومحاماه,500.0,0.0,250.0,250.0,8.0,7
social media moderator - سوشيال ميديا (العمل في إدارة صفحات و تسويق سوشيال ميديا ) - 15 مايو - القاهرة,15 مايو - المعادى - حلوان - القاهرة,3000 - 6000 جنيه مصري,تسويق إلكترونى/ سوشيال ميديا, لا يشترط خبرة- مؤهل عالي- تسويق ومبيعات,neutral,Egypt,4500.0,144.0,تسويق,تسويق,social media moderator - سوشيال ميديا (العمل في اداره صفحات و تسويق سوشيال ميديا ) - 15 مايو - القاهره,,تسويق الكتروني/ سوشيال ميديا,لا يشترط خبره- مؤهل عالي- تسويق ومبيعات,Marketing,تسويق,300.0,0.0,150.0,150.0,,7
محاسبة عامة (يشترط خبرة) - 15 مايو - القاهرة,15 مايو - المعادى - حلوان - القاهرة,5000 - 7000 جنيه مصري,حسابات,محاسبة عامة خبرة في مجال المقاولات وإعداد جميع القوائم علي الاكسيل من تسجيل المعاملات و القيود اليومية بشكل صحيح الي الميزانية العامة و قوائم الدخل و المركز المالي- 3-‎7 سنوات خبرة- مؤهل عالي- مالية وقانونية,neutral,Egypt,6000.0,192.0,مالية ومحاسبة,مالية ومحاسبة,محاسبه عامه (يشترط خبره) - 15 مايو - القاهره,,حسابات,محاسبه عامه خبره في مجال المقاولات واعداد جميع القوائم علي الاكسيل من تسجيل المعاملات و القيود اليوميه بشكل صحيح الي الميزانيه العامه و قوائم الدخل و المركز المالي- 3-‎7 سنوات خبره- مؤهل عالي- ماليه وقانونيه,Finance And Accounting,ماليه ومحاسبه,500.0,0.0,250.0,250.0,3.0,7
بقال (سوبر ماركت) (خبرة بسيطة) - 15 مايو - القاهرة,15 مايو - حدائق القبة - مدينة نصر - القاهرة,nan,مبيعات داخلية, سنة خبرة على الأقل- يجيد القراءة والكتابة بلا شهادة- تسويق ومبيعات,male,Egypt,7902.507,252.88022,مبيعات,مبيعات,بقال (سوبر ماركت) (خبره بسيطه) - 15 مايو - القاهره,,مبيعات داخليه,سنه خبره علي الاقل- يجيد القراءه والكتابه بلا شهاده- تسويق ومبيعات,Sales,مبيعات,,,,7902.5068359375,,7
